V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V13,V19,V22,V30,V33,V35,V36,V40,V41,V42,V43,V45,V47,V50,V51,V52,V59,V63,V72,V75,class
2.0,1.0,22.0,6,136.0,32.0,2.0,13,32.0,1.0,1,32.0,7,2,0,2,9,7,7.0,1,4.0,0.0,8,3,3.0,1,0,14.0,6,11,1,1
0.0,180.0,59.0,9,7348.0,458.0,1.0,32,122.0,0.0,1,22.0,3,2,3,3,9,5,0.0,2,1.0,30.0,1,10,0.0,10,1,0.0,12,1,0,1
5.0,20.0,6.0,2,103.0,2.0,20.0,17,28.0,1.0,2,2.0,3,2,7,2,9,7,0.0,3,1.0,5.0,1,8,1.0,1,0,1.0,4,11,4,0
1.0,182.0,120.0,5,0.0,1.0,9.0,20,322.0,1.0,4,0.0,7,2,0,2,8,7,0.0,0,4.0,59.0,4,3,226.0,2,0,5.0,6,1,2,1
1.0,37.0,2.0,23,133.0,27.0,9.0,26,1278.0,1.0,7,23.0,3,2,3,3,9,6,23.0,3,2.0,93.0,1,5,1.0,4,0,1.0,13,0,0,1
2.0,0.0,31.0,20,2.0,8.0,2.0,21,20.0,1.0,1,8.0,4,2,0,2,9,7,10.0,2,13.0,133.0,7,3,1.0,7,1,13.0,8,0,0,1
0.0,8.0,13.0,7,4158.0,58.0,10.0,15,269.0,0.0,7,7.0,3,2,1,0,1,7,3.0,3,0.0,74.0,1,10,69.0,1,1,28.0,8,1,0,1
2.0,8.0,12.0,12,1213.0,33.0,6.0,25,45.0,1.0,3,12.0,6,2,1,2,9,6,0.0,3,1.0,0.0,6,5,23.0,6,0,22.0,6,1,2,1
0.0,8.0,3.0,2,1353.0,37.0,22.0,16,19.0,0.0,2,2.0,3,2,1,3,9,8,6.0,2,1.0,0.0,7,3,8.0,2,1,219.0,6,5,1,0
9.0,2173.0,4.0,0,125.0,6.0,232.0,17,150.0,2.0,34,6.0,5,2,1,3,9,6,0.0,1,1.0,25.0,1,8,19.0,1,1,5.0,8,2,8,0
0.0,1910.0,29.0,9,1514.0,58.0,6.0,36,263.0,0.0,4,29.0,3,2,1,3,9,6,1.0,1,23.0,36.0,1,3,27.0,14,1,5.0,7,2,1,1
0.0,27.0,23.0,19,1524.0,78.0,12.0,27,84.0,0.0,3,25.0,3,2,1,2,9,6,9.0,1,6.0,15.0,2,8,4.0,3,1,6.0,7,16,5,0
4.0,1.0,3.0,1,162.0,1.0,26.0,21,85.0,2.0,7,1.0,7,2,4,2,9,6,0.0,3,4.0,41.0,0,10,1.0,1,1,5.0,4,1,1,0
4.0,0.0,1.0,0,27.0,0.0,5.0,14,14.0,1.0,2,0.0,7,2,1,2,9,7,16.0,2,14.0,95.0,6,8,0.0,10,1,0.0,7,4,3,0
1.0,15.0,10.0,8,1088.0,66.0,3.0,8,19.0,1.0,3,8.0,3,2,0,3,9,6,185.0,1,4.0,3.0,1,10,0.0,2,0,15.0,6,0,1,0
0.0,54.0,14.0,26,246.0,152.0,19.0,43,169.0,0.0,5,26.0,0,2,1,3,9,6,13.0,3,13.0,7.0,4,8,2.0,2,0,0.0,6,2,1,1
0.0,13.0,66.0,12,2933.0,30.0,2.0,12,14.0,0.0,1,12.0,4,2,0,0,9,6,2.0,1,37.0,66.0,1,8,1.0,5,0,0.0,6,4,5,1
0.0,7.0,2.0,3,5585.0,139.0,39.0,4,300.0,0.0,4,3.0,4,2,1,3,8,8,0.0,3,2.0,145.0,8,5,0.0,1,0,89.0,4,1,22,0
10.0,2.0,39.0,0,17.0,0.0,71.0,2,120.0,2.0,19,0.0,9,2,3,2,9,6,4.0,2,3.0,14.0,1,5,2.0,44,0,0.0,6,1,1,0
2.0,1.0,20.0,6,181.0,10.0,51.0,11,248.0,1.0,7,10.0,7,2,1,0,9,4,10.0,0,19.0,15.0,5,5,32.0,0,0,11.0,2,3,3,1
0.0,15.0,29.0,37,2754.0,86.0,1.0,38,70.0,0.0,1,39.0,7,2,7,0,9,6,0.0,1,12.0,221.0,7,3,101.0,1,1,14.0,6,3,0,1
1.0,48.0,11.0,4,7.0,4.0,1.0,4,4.0,1.0,1,4.0,4,2,7,3,9,6,8.0,3,5.0,39.0,1,7,14.0,1,0,3.0,6,3,1,0
0.0,3.0,2.0,2,10956.0,133.0,14.0,8,107.0,0.0,3,2.0,4,2,1,3,9,5,22.0,1,36.0,73.0,6,3,4.0,1,1,2.0,6,0,1,1
2.0,14.0,30.0,14,2.0,2.0,2.0,16,20.0,1.0,1,2.0,0,2,1,0,9,1,0.0,1,2.0,119.0,1,5,0.0,3,0,19.0,7,12,8,1
1.0,5.0,11.0,17,10.0,16.0,2.0,22,77.0,1.0,2,16.0,7,2,0,3,9,6,0.0,3,9.0,80.0,0,6,44.0,0,0,1.0,6,3,5,1
1.0,-1.0,3.0,1,10.0,0.0,23.0,44,87.0,1.0,8,0.0,7,2,1,1,9,8,4.0,2,0.0,0.0,6,8,2.0,2,1,5.0,6,5,1,0
0.0,1739.0,6.0,4,1131.0,64.0,8.0,34,152.0,0.0,5,6.0,7,2,1,3,9,8,13.0,0,0.0,0.0,4,10,21.0,0,1,13.0,6,7,4,0
0.0,262.0,4.0,3,1877.0,47.0,12.0,5,18.0,0.0,1,3.0,7,2,1,2,8,6,4.0,3,7.0,204.0,1,5,2.0,1,1,0.0,6,8,5,1
0.0,1.0,120.0,1,2828.0,230.0,9.0,2,1047.0,0.0,9,1.0,5,2,1,2,9,6,2.0,0,30.0,43.0,1,8,12.0,14,1,0.0,7,1,1,1
0.0,149.0,1.0,1,9776.0,410.0,6.0,44,810.0,0.0,5,1.0,7,2,1,3,9,2,42.0,3,8.0,10.0,5,8,11.0,6,0,0.0,4,1,2,0
1.0,11.0,1.0,5,4.0,5.0,19.0,7,23.0,1.0,3,2.0,7,2,4,3,9,1,9.0,3,47.0,91.0,8,8,11.0,9,0,1.0,6,6,2,1
0.0,35.0,4.0,3,44.0,44.0,14.0,4,8.0,0.0,3,3.0,4,2,1,3,9,9,1.0,1,1.0,59.0,5,8,2.0,2,1,38.0,6,1,1,0
7.0,36.0,1.0,2,86.0,2.0,11.0,20,27.0,1.0,3,2.0,3,2,1,1,1,6,13.0,1,2.0,1.0,1,6,66.0,1,0,12.0,1,3,6,0
5.0,3.0,240.0,27,5.0,11.0,4.0,45,17.0,1.0,1,11.0,7,2,1,2,1,6,6.0,1,7.0,0.0,8,5,10.0,4,2,0.0,6,0,0,0
0.0,1.0,3.0,4,6327.0,280.0,2.0,40,96.0,0.0,1,4.0,7,2,0,3,1,6,0.0,3,43.0,1.0,8,3,3.0,1,1,3.0,8,1,2,1
4.0,0.0,43.0,11,0.0,0.0,96.0,36,467.0,1.0,24,0.0,3,2,3,2,8,8,6.0,3,18.0,137.0,1,3,14.0,2,1,20.0,8,1,8,0
3.0,1.0,6.0,23,197.0,46.0,3.0,44,46.0,1.0,1,42.0,3,2,3,3,9,7,26.0,3,4.0,1.0,1,8,10.0,2,1,2.0,7,1,4,1
3.0,38.0,1.0,19,0.0,0.0,3.0,26,71.0,1.0,1,0.0,7,2,1,3,9,7,3.0,0,5.0,25.0,7,7,25.0,0,0,17.0,6,3,0,0
6.0,0.0,9.0,1,1009.0,29.0,10.0,25,424.0,1.0,3,1.0,9,2,1,0,9,6,6.0,1,29.0,3.0,1,6,107.0,36,3,1.0,6,1,16,1
2.0,0.0,137.0,41,28.0,34.0,2.0,41,43.0,1.0,1,32.0,7,2,0,0,9,6,12.0,0,29.0,172.0,1,8,2.0,5,1,8.0,7,1,1,1
0.0,0.0,106.0,6,4651.0,106.0,5.0,4,43.0,0.0,2,6.0,9,2,1,2,9,6,0.0,3,5.0,46.0,1,5,1.0,1,1,4.0,6,3,7,1
1.0,1.0,7.0,3,1193.0,4.0,14.0,4,143.0,0.0,6,3.0,9,2,1,1,8,7,2.0,3,0.0,134.0,6,5,20.0,2,2,1.0,7,9,11,1
26.0,9.0,47.0,32,76.0,46.0,26.0,33,32.0,1.0,1,32.0,9,2,1,3,9,1,40.0,3,5.0,47.0,1,5,3.0,4,1,4.0,6,8,1,1
2.0,2.0,28.0,1,5.0,1.0,5.0,21,77.0,2.0,3,1.0,0,2,1,0,9,6,29.0,2,49.0,33.0,5,3,6.0,1,2,11.0,1,2,0,1
2.0,226.0,173.0,2,214.0,2.0,2.0,2,2.0,1.0,1,2.0,7,2,0,1,9,6,13.0,0,18.0,0.0,0,5,82.0,3,1,7.0,7,3,1,1
6.0,0.0,21.0,28,1.0,4.0,11.0,30,58.0,1.0,2,4.0,0,2,1,3,9,8,54.0,3,0.0,41.0,8,10,7.0,12,1,37.0,7,2,1,0
1.0,1.0,4.0,4,548.0,52.0,86.0,31,149.0,1.0,7,4.0,3,2,1,2,8,8,1.0,3,2.0,6.0,1,10,0.0,1,2,10.0,6,21,1,1
0.0,27.0,1.0,3,2363.0,117.0,15.0,25,204.0,0.0,5,3.0,3,2,3,0,9,6,2.0,3,11.0,13.0,8,3,3.0,2,1,7.0,8,2,1,1
2.0,2.0,11.0,4,23.0,4.0,33.0,4,4.0,1.0,11,4.0,4,2,0,1,8,7,10.0,0,5.0,59.0,6,5,15.0,1,0,8.0,6,1,4,1
0.0,1.0,4.0,6,2236.0,35.0,6.0,8,35.0,0.0,1,6.0,6,2,1,0,9,6,1.0,3,5.0,8.0,8,3,0.0,2,3,47.0,4,2,3,1
1.0,24.0,16.0,5,1.0,0.0,38.0,6,248.0,1.0,15,0.0,3,2,6,1,8,6,12.0,3,8.0,36.0,7,8,25.0,1,0,0.0,6,8,1,1
1.0,0.0,1.0,2,48.0,2.0,1.0,1,2.0,1.0,1,2.0,7,2,7,2,9,7,53.0,3,49.0,84.0,0,5,13.0,2,0,23.0,8,1,2,0
6.0,6.0,9.0,11,213.0,36.0,10.0,47,213.0,3.0,5,18.0,7,2,1,3,9,8,0.0,0,8.0,84.0,0,6,3.0,2,1,1.0,2,11,3,0
2.0,63.0,2.0,2,1215.0,2.0,2.0,1,2.0,1.0,1,2.0,9,2,0,2,5,6,6.0,3,1.0,44.0,8,8,15.0,1,0,4.0,1,1,1,0
0.0,7.0,4.0,2,37663.0,894.0,0.0,2,121.0,0.0,0,2.0,7,2,1,3,1,4,152.0,3,1.0,16.0,1,10,4.0,1,1,1.0,8,2,3,1
0.0,228.0,4.0,4,1660.0,99.0,7.0,4,62.0,0.0,5,4.0,7,2,4,3,1,7,1.0,2,2.0,28.0,2,3,32.0,8,1,2.0,2,1,1,0
1.0,1.0,29.0,2,426.0,18.0,11.0,6,442.0,1.0,4,3.0,9,2,1,2,9,6,1.0,3,1.0,989.0,5,6,17.0,5,1,5.0,9,2,1,1
8.0,6.0,36.0,7,233.0,36.0,26.0,14,66.0,1.0,2,7.0,3,2,1,2,9,4,0.0,2,0.0,73.0,8,10,2.0,0,0,33.0,6,3,1,0
0.0,1.0,3.0,2,5423.0,119.0,11.0,8,50.0,0.0,1,2.0,0,2,1,1,9,6,68.0,2,2.0,56.0,1,3,23.0,1,0,20.0,2,3,1,1
0.0,1836.0,2.0,9,4629.0,137.0,36.0,33,550.0,0.0,4,9.0,7,2,3,3,9,8,146.0,0,2.0,44.0,5,8,12.0,1,0,0.0,9,1,0,1
3.0,3.0,1.0,8,25.0,8.0,37.0,10,15.0,1.0,14,8.0,7,2,3,3,9,1,1.0,3,4.0,4.0,1,5,8.0,1,1,1.0,6,1,1,0
1.0,0.0,10.0,10,401.0,62.0,1.0,37,34.0,1.0,1,16.0,7,2,7,0,8,7,16.0,0,3.0,103.0,1,8,7.0,1,1,7.0,6,2,3,1
3.0,54.0,6.0,6,1497.0,173.0,37.0,49,130.0,0.0,6,6.0,7,2,1,3,9,6,2.0,3,37.0,1.0,6,8,16.0,1,1,18.0,6,5,0,1
0.0,0.0,5.0,2,2324.0,45.0,1.0,10,43.0,0.0,1,2.0,7,2,4,2,9,8,2.0,3,4.0,2.0,1,8,0.0,1,0,2.0,6,3,5,1
45.0,0.0,117.0,13,1347.0,17.0,52.0,39,17.0,0.0,1,13.0,5,2,3,1,9,8,0.0,3,28.0,10.0,1,8,23.0,1,0,5.0,6,7,1,1
34.0,5.0,1.0,1,360.0,2.0,169.0,31,913.0,2.0,28,1.0,4,2,1,2,1,8,18.0,3,49.0,0.0,1,0,5.0,3,0,0.0,6,0,2,0
0.0,0.0,21.0,7,1347.0,41.0,31.0,16,159.0,0.0,10,10.0,3,2,1,1,9,6,3.0,3,1.0,1.0,3,5,28.0,3,1,4.0,6,2,1,1
1.0,1.0,4.0,3,303.0,3.0,1.0,3,3.0,1.0,1,3.0,7,2,7,2,9,4,32.0,3,1.0,345.0,6,5,18.0,13,0,0.0,7,1,2,1
0.0,0.0,2.0,0,11679.0,158.0,7.0,6,147.0,0.0,2,3.0,7,2,1,3,9,2,1.0,0,4.0,0.0,1,8,12.0,1,1,2.0,6,1,16,1
5.0,30.0,16.0,11,1.0,4.0,20.0,34,43.0,2.0,3,4.0,7,2,1,2,9,1,2.0,1,6.0,1.0,1,5,1.0,2,0,0.0,6,4,1,0
12.0,1.0,12.0,11,272.0,26.0,18.0,42,60.0,1.0,4,11.0,3,2,1,3,1,9,0.0,2,7.0,551.0,5,8,76.0,1,0,33.0,7,8,3,1
5.0,502.0,43.0,11,171.0,29.0,42.0,36,233.0,1.0,6,19.0,3,2,3,2,1,6,7.0,3,12.0,10.0,8,3,257.0,3,1,0.0,7,5,3,1
7.0,13.0,45.0,13,319.0,149.0,7.0,21,48.0,1.0,1,13.0,3,2,4,2,9,1,3.0,2,12.0,55.0,6,8,0.0,2,1,11.0,7,0,1,0
0.0,1.0,10.0,10,2433.0,21.0,1.0,14,13.0,0.0,1,10.0,7,2,7,2,1,6,1.0,0,4.0,88.0,0,3,42.0,1,0,1.0,6,2,1,0
1.0,8.0,5.0,5,1401.0,57.0,16.0,27,440.0,0.0,8,5.0,3,2,1,3,9,4,157.0,2,11.0,39.0,8,8,0.0,2,1,82.0,6,4,1,0
1.0,57.0,154.0,5,224.0,14.0,2.0,21,57.0,1.0,2,14.0,9,2,0,2,9,6,12.0,1,7.0,42.0,5,3,0.0,1,0,2.0,6,4,2,1
14.0,6.0,4.0,1,10.0,1.0,14.0,1,1.0,1.0,1,1.0,3,2,1,0,1,6,2.0,2,14.0,89.0,1,8,25.0,0,2,25.0,6,3,3,1
0.0,5.0,24.0,8,11594.0,640.0,3.0,31,942.0,0.0,3,8.0,4,2,1,3,9,7,5.0,3,2.0,12.0,5,8,3.0,0,1,2.0,1,2,2,1
5.0,5.0,13.0,11,1350.0,169.0,5.0,31,37.0,1.0,1,12.0,7,2,1,3,9,8,9.0,3,22.0,7.0,5,8,0.0,1,0,5.0,6,35,5,0
15.0,1.0,46.0,5,1163.0,33.0,20.0,24,40.0,1.0,4,6.0,7,2,1,1,9,1,14.0,0,3.0,372.0,8,10,2.0,0,0,14.0,9,0,6,0
9.0,-1.0,15.0,2,5.0,2.0,9.0,3,2.0,1.0,1,2.0,7,2,1,3,9,7,2.0,2,1.0,31.0,0,6,2.0,2,1,25.0,6,5,1,0
0.0,42.0,5.0,4,3198.0,173.0,148.0,15,785.0,0.0,20,4.0,7,2,3,1,9,8,12.0,3,14.0,21.0,3,5,15.0,4,0,6.0,9,4,0,0
0.0,0.0,6.0,9,2049.0,112.0,1.0,12,106.0,0.0,1,29.0,5,2,7,2,9,6,9.0,2,8.0,6.0,2,8,1.0,2,0,0.0,1,0,2,0
13.0,0.0,9.0,12,1.0,3.0,13.0,13,12.0,2.0,2,3.0,4,2,1,3,5,6,3.0,1,41.0,6.0,5,0,12.0,0,0,0.0,4,0,80,1
0.0,176.0,3.0,2,5277.0,46.0,1.0,4,22.0,0.0,1,2.0,7,2,7,3,9,7,0.0,3,8.0,19.0,1,10,0.0,10,0,3.0,6,0,0,1
1.0,0.0,9.0,21,571.0,47.0,1.0,27,56.0,1.0,1,36.0,0,2,1,1,9,1,11.0,3,3.0,361.0,5,7,16.0,1,1,0.0,8,1,0,1
6.0,0.0,7.0,15,18.0,19.0,6.0,14,15.0,1.0,1,15.0,7,2,0,0,9,7,145.0,3,46.0,768.0,1,6,5.0,0,0,0.0,7,2,2,1
0.0,0.0,4.0,1,7099.0,405.0,2.0,8,96.0,0.0,1,1.0,9,2,1,0,9,6,21.0,1,14.0,31.0,1,5,9.0,1,1,4.0,6,0,0,1
3.0,2.0,6.0,12,4.0,12.0,31.0,34,186.0,1.0,5,12.0,7,2,1,0,9,8,2.0,3,0.0,80.0,8,3,4.0,1,0,0.0,1,2,1,1
0.0,-1.0,92.0,7,2046.0,17.0,3.0,14,14.0,0.0,1,7.0,7,2,0,2,9,6,5.0,3,21.0,17.0,5,5,3.0,1,0,29.0,8,2,1,1
35.0,94.0,8.0,7,1.0,0.0,35.0,11,11.0,2.0,2,0.0,7,2,6,0,1,1,8.0,3,39.0,24.0,1,3,0.0,3,1,1.0,6,1,2,0
10.0,652.0,2.0,0,1.0,0.0,10.0,0,0.0,1.0,1,0.0,3,2,4,2,8,6,5.0,3,3.0,16.0,1,3,0.0,1,1,74.0,4,1,1,0
1.0,3.0,27.0,18,1365.0,36.0,7.0,40,69.0,0.0,2,18.0,4,2,6,1,9,6,14.0,2,36.0,107.0,5,3,8.0,4,1,5.0,7,3,1,0
0.0,305.0,13.0,11,5330.0,438.0,30.0,46,1085.0,0.0,9,20.0,4,2,1,3,9,7,3.0,2,1.0,82.0,1,3,3.0,0,1,22.0,6,2,1,1
0.0,0.0,4.0,3,2669.0,102.0,5.0,0,492.0,0.0,3,4.0,3,2,1,1,9,4,117.0,2,2.0,29.0,1,5,0.0,2,0,1.0,6,11,1,0
0.0,0.0,21.0,10,5738.0,38.0,4.0,13,65.0,0.0,1,10.0,7,2,4,2,9,1,12.0,1,27.0,42.0,5,8,1.0,0,0,2.0,4,1,1,1
24.0,2.0,55.0,23,1.0,1.0,11.0,45,32.0,1.0,1,1.0,3,2,1,0,9,5,27.0,2,13.0,25.0,5,8,5.0,0,0,0.0,9,1,4,0
0.0,2.0,16.0,17,1507.0,70.0,2.0,25,67.0,0.0,1,17.0,4,2,0,3,9,6,0.0,1,1.0,29.0,8,5,2.0,1,1,0.0,3,10,1,1
3.0,125.0,3.0,7,1224.0,19.0,42.0,30,332.0,0.0,6,8.0,7,2,1,0,9,8,6.0,1,26.0,366.0,5,6,2.0,7,1,4.0,6,9,0,0
1.0,138.0,8.0,8,47.0,45.0,3.0,9,10.0,1.0,2,0.0,7,2,0,3,9,6,15.0,3,15.0,7.0,1,8,2.0,3,1,6.0,6,1,2,1
1.0,608.0,2.0,2,1192.0,4.0,14.0,14,130.0,1.0,5,2.0,3,2,0,3,9,8,2.0,3,6.0,45.0,6,3,55.0,10,0,0.0,6,14,0,0
3.0,1.0,21.0,0,20.0,62.0,19.0,0,18.0,1.0,7,0.0,4,2,3,3,9,8,1.0,0,3.0,41.0,1,3,13.0,1,1,0.0,2,4,0,0
0.0,57.0,5.0,5,1759.0,23.0,20.0,16,243.0,0.0,11,6.0,7,2,4,3,9,1,13.0,1,0.0,637.0,1,5,18.0,1,0,2.0,8,11,3,1
0.0,322.0,5.0,2,3975.0,100.0,4.0,35,159.0,0.0,2,3.0,4,2,0,3,9,6,4.0,2,0.0,30.0,0,8,2.0,4,1,7.0,1,0,1,0
1.0,20.0,2.0,3,14.0,6.0,1.0,3,3.0,1.0,1,3.0,4,2,3,3,9,7,2.0,0,0.0,4.0,1,8,19.0,0,0,1.0,6,2,0,0
5.0,1.0,3.0,4,56.0,20.0,5.0,4,4.0,1.0,1,4.0,7,2,1,3,1,8,4.0,3,0.0,687.0,1,8,0.0,0,1,8.0,1,1,1,1
1.0,0.0,26.0,30,46.0,57.0,7.0,32,147.0,1.0,5,30.0,4,2,4,1,1,1,0.0,2,6.0,5.0,1,5,5.0,1,1,1.0,7,0,19,0
0.0,53.0,37.0,4,6042.0,144.0,14.0,4,95.0,0.0,1,4.0,4,2,1,2,9,8,14.0,3,5.0,33.0,1,8,4.0,1,2,14.0,2,2,1,1
0.0,-2.0,4.0,8,9125.0,757.0,14.0,7,251.0,0.0,3,8.0,3,2,1,3,9,6,4.0,2,1.0,0.0,1,5,1.0,2,1,352.0,6,0,1,0
4.0,1.0,12.0,20,1427.0,41.0,4.0,38,39.0,1.0,1,20.0,7,2,1,1,9,4,0.0,3,0.0,74.0,7,8,0.0,1,0,0.0,6,1,1,1
1.0,0.0,9.0,5,0.0,5.0,1.0,7,5.0,1.0,1,5.0,3,2,7,1,9,6,4.0,0,6.0,1.0,0,8,0.0,0,1,3.0,6,0,2,0
12.0,0.0,13.0,3,190.0,8.0,19.0,28,84.0,1.0,3,3.0,4,2,0,3,9,6,146.0,2,4.0,73.0,0,8,3.0,0,0,44.0,6,10,2,1
1.0,12.0,13.0,1,2.0,1.0,1.0,2,1.0,1.0,1,1.0,3,2,1,3,1,8,24.0,3,6.0,1256.0,1,5,7.0,2,0,4.0,6,13,1,1
7.0,3.0,2.0,1,678.0,11.0,7.0,11,4.0,1.0,1,1.0,7,2,4,3,9,7,23.0,3,24.0,177.0,8,8,2.0,7,0,25.0,6,0,1,1
2.0,1.0,1.0,2,144.0,3.0,4.0,3,153.0,1.0,3,2.0,3,2,1,2,9,6,1.0,3,3.0,0.0,5,3,18.0,4,1,34.0,6,6,2,0
0.0,1.0,44.0,6,2161.0,274.0,3.0,6,145.0,0.0,3,6.0,7,2,1,1,9,8,1.0,3,46.0,8.0,1,5,1.0,2,0,2.0,8,0,6,1
4.0,2.0,6.0,6,479.0,36.0,4.0,36,36.0,1.0,1,29.0,7,2,1,0,9,2,84.0,3,20.0,15.0,1,8,2.0,2,1,128.0,7,3,3,1
4.0,349.0,8.0,8,1.0,0.0,101.0,9,107.0,1.0,6,0.0,7,2,1,2,9,1,10.0,1,5.0,64.0,0,8,34.0,2,0,20.0,1,0,2,0
4.0,82.0,7.0,7,326.0,8.0,4.0,8,8.0,1.0,1,7.0,3,2,1,3,9,7,10.0,2,30.0,0.0,5,5,8.0,1,3,1.0,8,1,2,1
1.0,1.0,15.0,9,764.0,9.0,4.0,12,89.0,1.0,2,9.0,7,2,0,1,9,6,2.0,2,14.0,8.0,1,8,88.0,1,1,0.0,6,3,3,1
1.0,0.0,12.0,31,5.0,22.0,8.0,24,196.0,1.0,4,20.0,3,2,1,0,9,6,94.0,3,0.0,27.0,7,3,0.0,1,1,96.0,7,0,2,1
3.0,6.0,1.0,26,93.0,40.0,130.0,20,1824.0,2.0,20,40.0,7,2,1,2,9,8,0.0,3,1.0,1.0,5,3,4.0,1,1,0.0,2,1,4,0
2.0,3.0,8.0,20,1329.0,37.0,3.0,17,35.0,0.0,1,20.0,4,2,1,3,9,6,3.0,0,16.0,0.0,6,8,5.0,1,2,3.0,2,1,7,0
1.0,6.0,15.0,7,66.0,15.0,3.0,7,7.0,1.0,3,7.0,7,2,1,3,9,8,276.0,1,3.0,0.0,8,8,1.0,1,0,3.0,6,4,14,1
1.0,0.0,13.0,9,28.0,12.0,1.0,9,9.0,1.0,1,9.0,7,2,7,2,9,6,1.0,3,47.0,9.0,8,5,13.0,0,0,134.0,6,2,1,0
2.0,180.0,32.0,18,72.0,20.0,2.0,34,34.0,1.0,1,18.0,4,2,0,3,9,6,579.0,2,35.0,475.0,1,8,6.0,2,0,11.0,6,1,2,1
0.0,7.0,50.0,7,5437.0,291.0,14.0,14,611.0,0.0,8,7.0,4,2,4,3,9,6,18.0,3,2.0,0.0,7,10,1.0,5,0,0.0,4,3,0,0
